yearID,player,team,position,salary
2024,Joc Pederson,ARI,DH,12500000
2024,Spencer Strider,ATL,SP,12500000
2024,Ross Stripling,OAK,RP,12500000
2024,Willy Adames,MIL,SS,12250000
2024,Sean Murphy,ATL,C,12166667
2024,Framber Valdez,HOU,SP/SP3,12100000
2024,Anthony DeSclafani,MIN,RP,12000000
2024,Mitch Garver,SEA,DH,12000000
2024,Yusei Kikuchi,HOU,SP,12000000
2024,Kenta Maeda,DET,RP,12000000
2024,J.D. Martinez,NYM,DH/RF,12000000
2024,Max Muncy,LAD,3B,12000000
2024,Kyle Tucker,HOU,RF,12000000
2024,Anthony Santander,BAL,RF,11700000
2024,Nico Hoerner,CHC,2B,11666667
2024,Ryan McMahon,COL,3B,11666667
2024,Rafael Montero,HOU,RP,11500000
2024,David Robertson,TEX,RP/CL,11500000
2024,Jake Cronenworth,SD,1B,11428571
2024,Sandy Alcantara,MIA,SP,11200000
2024,Bo Bichette,TOR,SS,11200000
2024,Jordan Hicks,SF,RP,11000000
2024,Lance Lynn,STL,SP/SP1,11000000
2024,Tyler Mahle,TEX,SP/SP2,11000000
2024,Steven Matz,STL,SP,11000000
2024,Taylor Rogers,SF,RP,11000000
2024,Robert Stephenson,LAA,RP/SU7,11000000
2024,Christian Walker,ARI,1B,10900000
2024,Luis Arraez,SD,1B/DH/2B,10600000
2024,Harrison Bader,NYM,CF,10500000
2024,Aroldis Chapman,PIT,RP/SU8,10500000
2024,Kevin Kiermaier,LAD,CF,10500000
2024,Jackson Chourio,MIL,LF/RF,10250000
2024,J.P. Crawford,SEA,SS,10200000
2024,James McCann,BAL,C,10150000
2024,Antonio Senzatela,COL,SP,10100000
2024,Zac Gallen,ARI,SP/SP2,10011000
2024,Alex Cobb,CLE,SP,10000000
2024,Reynaldo López,ATL,SP,10000000
2024,Germán Márquez,COL,SP/SP1,10000000
2024,Christian Vazquez,MIN,C,10000000
2024,Daniel Bard,COL,RP,9500000
2024,Manuel Margot,MIN,RF,9500000
2024,Drew Smyly,CHC,RP,9500000
2024,Eugenio Suarez,ARI,3B,9428571
2024,Robert Suarez,SD,RP/CL,9200000
2024,Brayan Bello,BOS,SP,9166667
2024,Ezequiel Tovar,COL,SS,9071429
2024,Michael Harris II,ATL,CF,9000000
2024,Merrill Kelly,ARI,SP,9000000
2024,Matt Moore,LAA,RP/SU7,9000000
2024,Hunter Greene,CIN,SP,8833333
2024,Ke'Bryan Hayes,PIT,3B,8750000
2024,Brandon Woodruff,MIL,SP/SP2,8750000
2024,Alex Verdugo,NYY,LF,8700000
2024,Joe Jimenez,ATL,RP,8666667
2024,Brandon Drury,LAA,2B,8500000
2024,Wade Miley,MIL,SP/SP2,8500000
2024,Alex Wood,OAK,SP/SP3,8500000
2024,Luis Robert Jr.,CHW,CF,8333333
2024,Tommy Edman,LAD,CF,8250000
2024,Randy Arozarena,SEA,LF,8100000
2024,Walker Buehler,LAD,SP/SP1,8025000
2024,Dylan Cease,SD,SP/SP3,8000000
2024,Yandy Diaz,TB,1B,8000000
2024,Kendall Graveman,HOU,RP,8000000
2024,Joe Kelly,LAD,RP,8000000
2024,Emilio Pagan,CIN,RP,8000000
2024,Martín Pérez,SD,SP/SP5,8000000
2024,Blake Treinen,LAD,RP,8000000
2024,Travis d'Arnaud,ATL,C,8000000
2024,Mike Yastrzemski,SF,RF,7900000
2024,Jordan Romano,TOR,RP/CL,7750000
2024,Jeffrey Springs,TB,SP,7750000
2024,Erick Fedde,STL,SP,7500000
2024,Marco Gonzales,PIT,SP,7500000
2024,Isiah Kiner-Falefa,PIT,SS/3B,7500000
2024,Nathaniel Lowe,TEX,1B,7500000
2024,Nick Pivetta,BOS,SP,7500000
2024,Matt Strahm,PHI,RP,7500000
2024,Paul Sewald,ARI,RP/CL,7350000
2024,Jose Alvarado,PHI,RP,7333333
2024,Devin Williams,MIL,RP/CL,7250000
2024,Eloy Jimenez,BAL,DH,7166667
2024,Pierce Johnson,ATL,RP/SU8,7125000
2024,Adolis García,TEX,RF,7000000
2024,Jake Junis,CIN,RP,7000000
2024,Max Kepler,MIN,RF,7000000
2024,Ha-seong Kim,SD,SS,7000000
2024,James Paxton,BOS,SP/SP2,7000000
2024,Ty France,CIN,1B,6775000
2024,Carlos Estevez,PHI,RP,6750000
2024,Chris Martin,BOS,RP,6750000
2024,Cal Quantrill,COL,SP/SP2,6550000
2024,Phil Maton,NYM,RP,6500000
2024,Josh Naylor,CLE,1B/OF,6500000
2024,Hunter Renfroe,KC,RF,6500000
