▼,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
741,Vladimir Guerrero Jr.,26,TOR,AL,4.6,156,680,589,96,172,34,0,23,84,6,3,81,94,0.292,0.381,0.467,0.848,133,0.365,133,275,17,6,0,4,8,*3D/H,"AS,MVP-13"
759,Kyle Schwarber*,32,PHI,NL,4.6,162,724,604,111,145,23,2,56,132,10,2,108,197,0.24,0.365,0.563,0.928,150,0.396,149,340,4,11,0,1,6,*D/7,"AS,MVP-2"
572,Will Smith,30,LAD,NL,4.5,110,436,362,64,107,20,1,17,61,2,3,64,89,0.296,0.404,0.497,0.901,153,0.387,151,180,7,5,0,5,1,2H/D,"AS,MVP-20"
713,Dansby Swanson,31,CHC,NL,4.5,159,645,590,84,144,24,3,24,77,20,3,47,168,0.244,0.3,0.417,0.717,106,0.323,108,246,9,2,1,5,1,*6,
662,Ketel Marte#,31,ARI,NL,4.4,126,556,480,87,136,28,0,28,72,4,2,64,83,0.283,0.376,0.517,0.893,145,0.381,142,248,12,9,0,3,6,4D/H,"AS,MVP-22,SS"
722,Junior Caminero,21,TBR,AL,4.4,154,653,602,93,159,28,0,45,110,7,1,41,125,0.264,0.311,0.535,0.846,130,0.366,136,322,31,3,0,7,1,*5/DH3,"AS,MVP-9"
686,Ernie Clement,29,TOR,AL,4.3,157,588,545,83,151,35,2,9,50,6,5,27,61,0.277,0.313,0.398,0.711,95,0.306,91,217,13,4,7,5,1,5463H,
700,Tyler Soderstrom*,23,ATH,AL,4.3,158,624,561,75,155,34,1,25,93,8,3,55,141,0.276,0.346,0.474,0.82,124,0.352,125,266,18,6,0,2,2,73H/D,
638,Jazz Chisholm Jr.*,27,NYY,AL,4.2,130,531,462,75,112,15,1,31,80,31,8,58,148,0.242,0.332,0.481,0.813,124,0.357,127,222,3,6,1,4,1,45/H,"AS,SS"
642,Matt Chapman,32,SFG,NL,4.1,128,535,454,76,105,23,2,21,61,9,4,71,126,0.231,0.34,0.43,0.77,119,0.341,122,195,8,6,0,4,1,*5,
739,Manny Machado,32,SDP,NL,4.1,159,678,615,91,169,33,0,27,95,14,3,55,131,0.275,0.335,0.46,0.795,119,0.346,115,283,16,3,0,5,4,*5D,"AS,MVP-16,SS"
762,Rafael Devers*,28,2TM,2LG,4.1,163,729,607,99,153,33,0,35,109,1,1,112,192,0.252,0.372,0.479,0.851,139,0.366,139,291,16,6,0,4,10,*D3/5H,
733,Ian Happ#,30,CHC,NL,4,150,663,569,87,138,32,0,23,79,6,3,87,151,0.243,0.342,0.42,0.762,121,0.338,122,239,8,2,0,5,2,*7/DH,GG
754,Randy Arozarena,30,SEA,AL,4,160,709,613,95,146,32,1,27,76,31,6,64,191,0.238,0.334,0.426,0.76,116,0.341,124,261,9,27,0,5,2,*7/D,AS
618,Harrison Bader,31,2TM,2LG,3.9,146,501,448,61,124,24,1,17,54,11,7,39,136,0.277,0.347,0.449,0.796,117,0.344,117,201,5,11,0,3,0,*87H/9,
632,Shea Langeliers,27,ATH,AL,3.9,123,523,481,73,133,32,0,31,72,7,1,36,103,0.277,0.325,0.536,0.861,132,0.363,131,258,10,1,0,5,1,2D/H,
731,William Contreras,27,MIL,NL,3.9,150,659,566,89,147,28,0,17,76,6,4,84,120,0.26,0.355,0.399,0.754,112,0.342,117,226,14,3,0,6,4,*2D/37,
