▼,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
469,Francisco Alvarez,23,NYM,NL,1.9,76,277,246,32,63,12,1,11,32,0,0,27,73,0.256,0.339,0.447,0.787,122,0.35,126,110,6,4,0,0,0,2/HD,
470,Giancarlo Stanton,35,NYY,AL,1.9,77,281,249,36,68,8,0,24,66,0,0,29,96,0.273,0.35,0.594,0.944,157,0.398,162,148,5,1,0,1,3,D9H/7,
485,Kyle Teel*,23,CHW,AL,1.9,78,297,253,38,69,11,0,8,35,3,1,37,77,0.273,0.375,0.411,0.786,121,0.353,128,104,1,5,1,1,0,2D/H7,
528,Adley Rutschman#,27,BAL,AL,1.9,90,365,322,37,71,16,2,9,29,0,0,40,57,0.22,0.307,0.366,0.673,91,0.297,89,118,8,1,0,2,0,2D/H,
538,Mike Tauchman*,34,CHW,AL,1.9,93,385,335,44,88,17,1,9,40,0,0,45,86,0.263,0.356,0.4,0.756,112,0.339,117,134,5,4,0,1,0,9D/H,
562,Daniel Schneemann*,28,CLE,AL,1.9,131,422,379,48,78,18,1,12,41,9,3,38,117,0.206,0.283,0.354,0.636,75,0.288,77,134,4,3,1,1,1,458H96/7D,
575,Javier Báez,32,DET,AL,1.9,126,437,417,55,107,17,3,12,57,5,1,10,109,0.257,0.282,0.398,0.68,87,0.297,84,166,8,6,0,3,0,6854/H,AS
614,Cam Smith,22,HOU,AL,1.9,134,493,441,55,104,21,3,9,51,8,1,43,137,0.236,0.312,0.358,0.671,87,0.304,88,158,11,7,0,2,0,*9H/D,ROY-10
659,Brandon Lowe*,30,TBR,AL,1.9,134,553,507,79,130,19,0,31,83,3,2,38,149,0.256,0.307,0.477,0.785,115,0.337,117,242,6,2,0,6,1,*4/DH3,AS
672,Miguel Vargas,25,CHW,AL,1.9,138,569,504,80,118,32,2,16,60,6,0,56,100,0.234,0.316,0.401,0.717,100,0.315,98,202,9,6,0,3,0,53/DH7,
705,Lawrence Butler*,24,ATH,AL,1.9,152,630,569,83,133,30,2,21,63,22,7,59,179,0.234,0.306,0.404,0.71,94,0.313,95,230,7,0,2,0,0,*98H,
409,Christian Koss,27,SFG,NL,1.8,74,191,174,25,46,9,0,3,23,4,1,9,45,0.264,0.309,0.368,0.676,93,0.317,103,64,4,3,3,2,0,4H5/61D,
600,Kerry Carpenter*,27,DET,AL,1.8,130,464,433,66,109,18,5,26,62,1,1,18,106,0.252,0.291,0.497,0.788,114,0.335,114,215,3,7,0,2,0,9D7H,
654,Alec Burleson*,26,STL,NL,1.8,139,546,497,54,144,26,2,18,69,5,1,39,79,0.29,0.343,0.459,0.801,126,0.352,126,228,14,3,1,4,1,379D/H1,SS
385,Hyeseong Kim*,26,LAD,NL,1.7,71,170,161,19,45,6,1,3,17,13,1,7,52,0.28,0.314,0.385,0.699,96,0.335,102,62,0,1,1,0,0,4H86,
462,Blaze Alexander,26,ARI,NL,1.7,74,266,230,31,53,12,1,7,28,4,6,22,86,0.23,0.323,0.383,0.706,95,0.315,101,88,5,10,3,1,0,54/H78D,
548,Mauricio Dubón,30,HOU,AL,1.7,133,398,369,43,89,21,0,7,33,3,0,24,42,0.241,0.289,0.355,0.644,78,0.281,72,131,12,1,3,1,0,74658H/39,GG
564,Brandon Marsh*,27,PHI,NL,1.7,133,425,379,59,106,25,2,11,43,7,1,38,110,0.28,0.342,0.443,0.785,114,0.346,112,168,2,0,3,4,1,*87H/9,
698,Jung Hoo Lee*,26,SFG,NL,1.7,150,617,560,73,149,31,12,8,55,10,3,47,71,0.266,0.327,0.407,0.735,109,0.329,112,228,2,6,0,4,0,*8/HD,
464,Dominic Canzone*,27,SEA,AL,1.6,82,269,243,30,73,11,0,11,32,3,1,20,59,0.3,0.358,0.481,0.84,138,0.361,142,117,6,3,0,2,0,9H/D,
492,Gabriel Moreno,25,ARI,NL,1.6,83,309,277,44,79,12,1,9,40,2,2,29,53,0.285,0.353,0.433,0.786,117,0.341,115,120,6,1,0,2,3,2/DH,
501,Kyle Higashioka,35,TEX,AL,1.6,94,327,303,33,73,14,1,11,47,3,1,20,72,0.241,0.291,0.403,0.693,101,0.305,105,122,5,2,0,2,0,2D/H,
523,Jordan Westburg,26,BAL,AL,1.6,85,352,328,59,87,10,1,17,41,1,2,17,80,0.265,0.313,0.457,0.77,115,0.334,118,150,5,6,0,1,0,54D/H,
554,Kyle Isbel*,28,KCR,AL,1.6,135,409,368,42,94,16,4,4,33,4,5,23,74,0.255,0.301,0.353,0.654,84,0.284,80,130,7,2,13,3,0,*8/H,
555,Spencer Horwitz*,27,PIT,NL,1.6,108,411,364,55,99,26,0,11,51,0,1,44,73,0.272,0.353,0.434,0.787,118,0.346,119,158,7,2,0,1,1,3H/4D,
565,Jake Mangum#,29,TBR,AL,1.6,118,428,405,37,120,18,1,3,40,27,6,19,64,0.296,0.33,0.368,0.698,95,0.313,93,149,4,2,1,1,0,*789/HD,
593,Isiah Kiner-Falefa,30,2TM,2LG,1.6,138,459,431,45,113,21,2,2,40,15,4,17,77,0.262,0.297,0.334,0.631,76,0.291,76,144,9,5,5,1,0,654/H1,
690,Marcell Ozuna,34,ATL,NL,1.6,145,592,487,61,113,19,0,21,68,0,0,94,144,0.232,0.355,0.4,0.756,114,0.342,118,195,11,3,0,7,2,*D/H,
694,Anthony Volpe,24,NYY,AL,1.6,153,596,539,65,114,32,4,19,72,18,8,43,150,0.212,0.272,0.391,0.663,82,0.287,80,211,10,4,3,7,0,*6/H,
497,Alex Call,30,2TM,NL,1.5,110,322,270,43,72,13,2,5,31,2,1,36,55,0.267,0.361,0.385,0.746,113,0.338,117,104,6,6,6,4,0,97H/D8,
517,Javier Sanoja,22,MIA,NL,1.5,118,342,313,40,76,22,4,6,38,6,5,19,41,0.243,0.287,0.396,0.683,88,0.307,92,124,2,2,4,4,0,574H86/13D,GG
557,Bo Naylor*,25,CLE,AL,1.5,123,414,359,46,70,22,1,14,47,1,2,45,99,0.195,0.282,0.379,0.661,81,0.289,80,136,4,1,3,6,0,*2H,
601,Colt Keith*,23,DET,AL,1.5,137,468,414,65,106,22,2,13,45,1,1,48,102,0.256,0.333,0.413,0.746,107,0.326,107,171,7,2,0,4,1,D54H3,
621,Alec Bohm,28,PHI,NL,1.5,120,504,464,53,133,18,3,11,59,2,0,29,82,0.287,0.331,0.409,0.741,102,0.334,105,190,16,5,0,6,0,53,
652,Teoscar Hernández,32,LAD,NL,1.5,134,546,511,65,126,29,1,25,89,5,2,26,134,0.247,0.284,0.454,0.738,104,0.318,100,232,13,3,0,5,0,*9/H,
661,Mike Trout,33,LAA,AL,1.5,130,556,456,73,106,14,1,26,64,2,0,87,178,0.232,0.359,0.439,0.797,121,0.341,117,200,7,6,0,6,10,D9/H,
673,Ke'Bryan Hayes,28,2TM,NL,1.5,152,570,527,50,124,16,3,5,49,12,3,36,111,0.235,0.29,0.306,0.595,65,0.275,64,161,12,5,1,1,1,*5/H,GG
681,Carlos Correa,30,2TM,AL,1.5,144,584,537,63,148,29,0,13,52,0,0,45,113,0.276,0.332,0.402,0.734,103,0.323,103,216,19,1,0,1,0,65/H,
471,Luis Torrens,29,NYM,NL,1.4,92,283,261,20,59,14,1,5,29,1,0,19,56,0.226,0.284,0.345,0.629,78,0.283,78,90,7,2,1,0,0,2H/1D3,
525,Noelvi Marté,23,CIN,NL,1.4,90,360,339,45,89,17,2,14,51,10,3,16,85,0.263,0.3,0.448,0.748,100,0.337,103,152,7,3,0,2,0,95/H8D,
527,Jacob Young,25,WSN,NL,1.4,120,364,324,34,75,10,1,2,31,15,11,27,65,0.231,0.296,0.287,0.583,68,0.268,71,93,7,3,9,1,0,*8H/D,
542,Pedro Pagés,26,STL,NL,1.4,112,389,361,38,83,15,0,11,45,0,0,19,107,0.23,0.272,0.363,0.635,79,0.278,74,131,9,3,3,3,1,*2/34,
568,Luis Robert Jr.,27,CHW,AL,1.4,110,431,382,52,85,12,0,14,53,33,8,40,112,0.223,0.297,0.364,0.661,85,0.307,88,139,8,2,1,3,3,8/DH,
592,Adam Frazier*,33,2TM,2LG,1.4,134,459,419,43,112,20,0,7,44,8,6,26,81,0.267,0.319,0.365,0.684,91,0.302,90,153,8,8,1,5,2,47H9/D5,
627,Josh Jung,27,TEX,AL,1.4,131,511,482,53,121,23,1,14,61,4,1,27,129,0.251,0.294,0.39,0.684,99,0.301,102,188,10,2,0,0,0,*5/DH,
724,Bryan Reynolds#,30,PIT,NL,1.4,154,654,587,68,144,38,3,16,73,3,2,57,173,0.245,0.318,0.402,0.72,99,0.319,99,236,15,7,0,3,1,*9D/H,
445,Davis Schneider,26,TOR,AL,1.3,82,227,188,33,44,5,0,11,31,3,1,36,60,0.234,0.361,0.436,0.797,119,0.36,128,82,4,2,0,1,0,74H/5D,
483,Ben Williamson,24,SEA,AL,1.3,85,295,277,36,70,13,0,1,21,5,1,15,64,0.253,0.294,0.31,0.604,74,0.272,75,86,5,1,2,0,0,5/H,
516,Tyler Stephenson,28,CIN,NL,1.3,88,342,299,40,69,18,0,13,50,0,1,37,116,0.231,0.316,0.421,0.737,99,0.327,99,126,4,2,0,4,1,2D/H,
544,Liam Hicks*,26,MIA,NL,1.3,119,390,332,37,82,13,1,6,45,2,0,43,56,0.247,0.346,0.346,0.693,94,0.32,98,115,5,9,3,3,0,23HD,
573,Nolan Arenado,34,STL,NL,1.3,107,436,401,48,95,18,1,12,52,3,0,28,49,0.237,0.289,0.377,0.666,88,0.297,86,151,10,3,0,4,4,5/DH,
584,Austin Riley,28,ATL,NL,1.3,102,447,416,54,108,20,1,16,54,2,1,27,128,0.26,0.309,0.428,0.737,106,0.321,104,178,9,3,0,1,1,5,
616,Jesús Sánchez*,27,2TM,2LG,1.3,134,497,451,61,107,21,4,14,48,13,3,42,110,0.237,0.304,0.395,0.699,93,0.312,91,178,10,2,0,2,1,*97H8/D,
622,Chase Meidroth,23,CHW,AL,1.3,122,505,450,54,114,15,0,5,23,14,4,45,72,0.253,0.329,0.32,0.649,84,0.303,89,144,14,6,3,1,0,64/H,
667,Nolan Schanuel*,23,LAA,AL,1.3,132,564,488,64,129,23,1,12,53,5,1,59,71,0.264,0.353,0.389,0.742,107,0.329,108,190,10,10,3,4,4,*3,
680,Lars Nootbaar*,27,STL,NL,1.3,135,583,509,68,119,24,1,13,48,4,5,64,119,0.234,0.325,0.361,0.686,96,0.303,94,184,4,6,1,3,3,*798/HD,
405,Matt Thaiss*,30,2TM,AL,1.2,60,190,156,16,34,6,1,1,16,1,1,29,46,0.218,0.349,0.288,0.638,82,0.299,89,45,2,3,1,1,0,2/H3D,
424,Rob Refsnyder,34,BOS,AL,1.2,70,209,182,29,49,12,0,9,30,3,0,24,54,0.269,0.354,0.484,0.838,131,0.368,135,88,6,1,0,2,1,9HD7,
550,Edgar Quero#,22,CHW,AL,1.2,111,403,365,31,98,17,0,5,36,0,1,32,71,0.268,0.333,0.356,0.689,94,0.308,96,130,8,4,0,2,0,2DH,
599,Ryan Jeffers,28,MIN,AL,1.2,119,464,406,47,108,26,0,9,47,1,1,50,91,0.266,0.356,0.397,0.752,108,0.332,109,161,9,7,0,1,1,2D/H,
619,Addison Barger*,25,TOR,AL,1.2,135,502,460,61,112,32,1,21,74,4,1,36,121,0.243,0.301,0.454,0.756,105,0.32,100,209,8,3,0,2,4,59H/D,
641,Paul Goldschmidt,37,NYY,AL,1.2,146,534,489,76,134,31,1,10,45,5,1,36,100,0.274,0.328,0.403,0.731,103,0.321,104,197,8,4,0,2,5,*3H/D8,
675,Jo Adell,26,LAA,AL,1.2,152,573,526,63,124,18,1,37,98,5,1,33,151,0.236,0.293,0.485,0.778,111,0.335,112,255,10,10,0,1,0,*89/HD,
738,Luis Arraez*,28,SDP,NL,1.2,154,675,620,66,181,30,4,8,61,11,4,34,21,0.292,0.327,0.392,0.719,100,0.318,97,243,12,2,12,7,0,*3D4/H,
749,Heliot Ramos,25,SFG,NL,1.2,157,695,620,85,159,24,1,21,69,6,4,52,158,0.256,0.328,0.4,0.728,107,0.319,107,248,16,17,0,6,2,*7/DH,
308,Miguel Amaya,26,CHC,NL,1.1,28,103,96,14,27,9,0,4,25,0,0,4,22,0.281,0.314,0.5,0.814,132,0.363,140,48,0,1,1,1,0,2/DH,
319,Austin Wynns,34,2TM,2LG,1.1,40,110,103,13,30,8,0,6,21,0,0,5,32,0.291,0.321,0.544,0.865,131,0.371,135,56,3,0,1,1,0,2/H3D,
370,Derek Hill,29,2TM,2LG,1.1,57,149,134,19,29,6,0,3,11,7,0,9,48,0.216,0.281,0.328,0.609,70,0.285,66,44,3,3,3,0,0,8/HD,
529,Andrés Giménez*,26,TOR,AL,1.1,101,369,329,39,69,11,1,7,35,12,2,25,66,0.21,0.285,0.313,0.598,66,0.277,65,103,8,11,1,3,0,46/H,
531,Jurickson Profar#,32,ATL,NL,1.1,80,371,318,56,78,16,1,14,43,9,2,48,59,0.245,0.353,0.434,0.787,122,0.355,125,138,4,5,0,0,0,7/D,
534,Tommy Edman#,30,LAD,NL,1.1,97,377,346,49,78,13,1,13,49,3,1,19,61,0.225,0.274,0.382,0.655,83,0.302,88,132,4,6,1,5,0,485/HD,
589,Patrick Bailey#,26,SFG,NL,1.1,135,452,409,47,91,18,3,6,55,1,0,30,133,0.222,0.277,0.325,0.602,72,0.269,70,133,7,3,4,6,0,*2H/D,GG
605,Gabriel Arias,25,CLE,AL,1.1,129,471,432,44,95,25,2,11,54,8,4,27,162,0.22,0.274,0.363,0.638,75,0.277,70,157,8,7,1,4,1,64/5H,
606,Carlos Santana#,39,2TM,2LG,1.1,124,474,415,49,91,11,0,11,54,7,0,52,91,0.219,0.308,0.325,0.633,77,0.289,77,135,7,3,0,4,1,3D/H5,
320,Michael Helman,29,TEX,AL,1,38,110,99,18,23,5,1,5,20,4,0,7,21,0.232,0.29,0.455,0.744,114,0.33,118,45,0,1,3,0,0,8/H6,
355,James McCann,35,ARI,NL,1,42,137,123,18,32,6,0,5,17,0,0,8,33,0.26,0.324,0.431,0.754,107,0.334,109,53,3,4,1,1,0,2/H3,
357,Dylan Beavers*,23,BAL,AL,1,35,137,110,16,25,5,1,4,14,2,2,26,36,0.227,0.375,0.4,0.775,121,0.346,128,44,0,0,1,0,0,79/H,
378,Denzel Clarke,25,ATH,AL,1,47,159,148,18,34,8,2,3,8,6,0,6,61,0.23,0.274,0.372,0.646,76,0.285,69,55,1,3,2,0,0,8/H,
412,David Hamilton*,27,BOS,AL,1,91,194,177,27,35,4,1,6,19,22,6,13,47,0.198,0.257,0.333,0.59,63,0.274,60,59,3,1,3,0,0,4H6/D5,
505,Starling Marte,36,NYM,NL,1,98,329,293,37,79,14,0,9,34,7,2,22,68,0.27,0.335,0.41,0.745,111,0.331,112,120,7,9,1,4,0,DH/79,
514,Tyrone Taylor,31,NYM,NL,1,113,341,310,34,69,18,3,2,27,12,2,16,76,0.223,0.279,0.319,0.598,70,0.276,70,99,4,9,3,2,1,*8H/79,
526,Colton Cowser*,25,BAL,AL,1,92,360,327,36,64,14,0,16,40,14,0,27,128,0.196,0.269,0.385,0.655,83,0.292,79,126,5,6,0,0,1,87/9HD,
539,Kody Clemens*,29,2TM,2LG,1,119,386,348,46,74,12,4,19,52,5,1,29,93,0.213,0.281,0.434,0.715,94,0.306,88,151,4,5,2,2,1,34H79/18D,
586,Tommy Pham,37,PIT,NL,1,120,449,392,44,96,17,1,10,52,5,3,50,94,0.245,0.33,0.37,0.7,95,0.317,98,145,12,2,0,5,3,*7/H9D,
604,Andrew Benintendi*,30,CHW,AL,1,116,470,420,57,101,16,2,20,63,1,0,40,82,0.24,0.307,0.431,0.738,104,0.322,105,181,5,3,0,6,2,7D/H,
613,Ty France,30,2TM,AL,1,138,490,444,50,114,25,0,7,52,1,0,22,83,0.257,0.32,0.36,0.681,88,0.307,90,160,11,21,0,3,1,*3H/D4,GG
716,Jackson Holliday*,21,BAL,AL,1,149,649,586,70,142,21,3,17,55,17,11,56,140,0.242,0.314,0.375,0.69,95,0.305,97,220,4,6,0,1,1,*4/6DH,
372,Jahmai Jones,27,DET,AL,0.9,72,150,129,21,37,11,1,7,23,2,0,18,32,0.287,0.387,0.55,0.937,157,0.403,160,71,3,3,0,0,1,HD97/4,
397,Sam Haggerty#,31,TEX,AL,0.9,64,182,162,31,41,7,3,2,13,12,4,16,37,0.253,0.328,0.37,0.698,105,0.334,123,60,1,2,1,0,1,H78D/49,
454,Tyler Fitzgerald,27,SFG,NL,0.9,72,243,217,19,47,10,1,4,14,9,4,17,70,0.217,0.278,0.327,0.606,73,0.276,75,71,3,2,6,1,0,4/H9,
482,Heriberto Hernández,25,MIA,NL,0.9,87,294,256,40,68,12,1,10,45,1,1,31,77,0.266,0.347,0.438,0.784,117,0.344,116,112,6,3,0,4,0,7D9H,ROY-13
502,Rhys Hoskins,32,MIL,NL,0.9,90,328,279,30,66,12,1,12,43,2,1,38,91,0.237,0.332,0.416,0.748,109,0.331,108,116,6,5,0,6,2,3/HD,
533,Jake Burger,29,TEX,AL,0.9,103,376,356,43,84,15,1,16,53,1,1,12,93,0.236,0.269,0.419,0.687,98,0.298,100,149,3,5,0,3,0,3DH,
540,Victor Caratini#,31,HOU,AL,0.9,114,386,344,35,89,14,0,12,46,1,0,23,65,0.259,0.324,0.404,0.728,101,0.319,101,139,8,13,0,6,0,2DH3,
687,Jordan Beck,24,COL,NL,0.9,148,588,539,62,139,27,5,16,53,19,8,43,174,0.258,0.317,0.416,0.732,94,0.327,94,224,9,4,0,1,0,*7H/D8,
257,Carter Jensen*,21,KCR,AL,0.8,20,69,60,12,18,6,0,3,13,0,0,9,12,0.3,0.391,0.55,0.941,162,0.399,162,33,1,0,0,0,0,2D/H,
259,José Fermín,26,STL,NL,0.8,30,70,60,5,17,5,0,1,9,2,2,8,10,0.283,0.377,0.417,0.793,126,0.358,137,25,0,1,1,0,0,4/H579D,
285,Brett Harris,27,ATH,AL,0.8,32,84,73,11,20,5,0,0,5,1,0,7,21,0.274,0.349,0.342,0.692,93,0.318,99,25,1,2,1,1,0,5/3H,
322,Leo Rivas#,27,SEA,AL,0.8,48,111,90,19,22,2,0,2,9,6,0,20,24,0.244,0.387,0.333,0.721,110,0.343,120,30,1,1,0,0,0,4H/6D5179,
353,Andruw Monasterio,28,MIL,NL,0.8,68,135,126,19,34,9,0,4,16,2,1,7,32,0.27,0.319,0.437,0.755,110,0.333,110,55,1,2,0,0,0,63H4/57,
423,Nacho Alvarez Jr.,22,ATL,NL,0.8,58,208,188,18,44,12,0,2,15,0,0,12,49,0.234,0.296,0.33,0.626,78,0.28,74,62,1,5,2,1,0,5/H,
463,Keibert Ruiz#,26,WSN,NL,0.8,68,267,255,19,63,12,0,2,25,0,2,8,26,0.247,0.277,0.318,0.595,69,0.271,73,81,4,3,0,1,0,2/H,
513,Miguel Andujar,30,2TM,2LG,0.8,94,341,321,36,102,17,1,10,44,1,0,17,49,0.318,0.352,0.47,0.822,124,0.355,124,151,8,1,0,2,1,57DH/39,
522,Daylen Lile*,22,WSN,NL,0.8,91,351,321,51,96,15,11,9,41,8,6,21,56,0.299,0.347,0.498,0.845,137,0.368,142,160,5,4,1,3,0,97D/H,ROY-5
537,Wenceel Pérez#,25,DET,AL,0.8,100,383,344,47,84,17,4,13,43,8,3,31,87,0.244,0.308,0.43,0.738,103,0.316,98,148,5,3,0,5,0,98/H7D,
558,Austin Hays,29,CIN,NL,0.8,103,416,380,60,101,16,5,15,64,7,0,29,107,0.266,0.315,0.453,0.768,106,0.335,101,172,9,1,0,6,2,7D/H,
649,Lenyn Sosa,25,CHW,AL,0.8,140,544,518,57,137,20,1,22,75,2,1,18,127,0.264,0.293,0.434,0.727,101,0.316,101,225,11,4,1,3,0,43D/H5,
297,Nasim Nuñez#,24,WSN,NL,0.7,39,92,82,13,19,2,0,4,13,9,1,8,20,0.232,0.297,0.402,0.699,97,0.323,94,33,1,0,1,1,0,64H/8D,
302,Carlos Cortes*,28,ATH,AL,0.7,42,99,94,11,29,8,1,4,14,0,0,3,20,0.309,0.323,0.543,0.866,133,0.36,131,51,3,0,0,2,0,9H/75D,
304,Alex Jackson,29,BAL,AL,0.7,36,100,91,17,20,8,0,5,8,0,0,5,37,0.22,0.29,0.473,0.763,112,0.323,108,43,2,4,0,0,0,2/H1D,
359,Kyren Paris,23,LAA,AL,0.7,44,140,126,20,24,4,1,6,11,7,1,10,59,0.19,0.266,0.381,0.647,77,0.302,83,48,1,3,0,0,0,84/H7D,
396,Austin Martin,26,MIN,AL,0.7,50,181,156,22,44,8,1,1,7,11,4,22,31,0.282,0.374,0.365,0.74,106,0.333,107,57,6,1,2,0,0,78/H4,
399,Graham Pauley*,24,MIA,NL,0.7,62,184,161,18,36,9,1,4,11,2,0,21,36,0.224,0.311,0.366,0.678,89,0.303,85,59,1,0,1,1,0,5/438,
401,Ronny Mauricio#,24,NYM,NL,0.7,61,184,168,19,38,6,0,6,10,4,0,15,54,0.226,0.293,0.369,0.663,88,0.303,89,62,5,1,0,0,1,5H/46D,
415,Yordan Alvarez*,28,HOU,AL,0.7,48,199,165,17,45,8,0,6,27,1,1,28,33,0.273,0.367,0.43,0.797,121,0.339,117,71,1,0,0,6,5,D7/H,
433,Kameron Misner*,27,TBR,AL,0.7,71,217,197,27,42,9,1,5,22,8,1,16,69,0.213,0.273,0.345,0.618,72,0.279,69,68,1,1,1,2,0,89/7HD,
435,Jake Bauers*,29,MIL,NL,0.7,85,218,183,28,43,9,0,7,28,8,1,32,59,0.235,0.353,0.399,0.752,111,0.34,111,73,1,2,0,1,1,3H7/D19,
451,Nick Fortes,28,2TM,2LG,0.7,97,242,218,19,50,9,1,5,21,1,0,14,47,0.229,0.296,0.349,0.644,79,0.293,81,76,7,7,2,1,0,2H/D,
465,Eli White,31,ATL,NL,0.7,105,271,256,43,60,8,3,10,35,10,1,11,70,0.234,0.27,0.406,0.677,89,0.308,89,104,2,2,1,1,1,97H/D83,
473,Henry Davis,25,PIT,NL,0.7,87,283,252,25,42,7,0,7,22,2,1,18,76,0.167,0.234,0.278,0.512,42,0.237,40,70,2,5,3,3,0,2/HD,
478,Yoán Moncada#,30,LAA,AL,0.7,84,289,248,39,58,13,2,12,35,0,0,32,75,0.234,0.336,0.448,0.783,116,0.339,116,111,4,7,0,2,1,5H/D,
511,Connor Norby,25,MIA,NL,0.7,88,337,311,42,78,17,1,8,34,8,2,18,90,0.251,0.3,0.389,0.689,90,0.317,95,121,3,5,0,3,0,5/HD,
651,Gavin Sheets*,29,SDP,NL,0.7,145,545,492,57,124,28,1,19,71,2,1,44,107,0.252,0.317,0.429,0.746,106,0.326,103,211,9,5,0,4,1,7DH3,
671,Spencer Steer,27,CIN,NL,0.7,146,568,509,66,121,21,2,21,75,7,1,51,129,0.238,0.312,0.411,0.723,95,0.321,93,209,12,5,1,2,0,*3D7/H9,
229,Zach Cole*,24,HOU,AL,0.6,15,52,47,9,12,2,0,4,11,3,0,5,20,0.255,0.327,0.553,0.88,139,0.382,137,26,0,0,0,0,0,/798H,
244,Jonny DeLuca,26,TBR,AL,0.6,20,59,57,5,19,1,3,0,4,6,0,2,13,0.333,0.356,0.456,0.812,125,0.365,119,26,0,0,0,0,0,8/HD,
284,Bryce Johnson#,29,SDP,NL,0.6,55,84,76,9,26,4,0,1,8,4,1,3,19,0.342,0.383,0.434,0.817,128,0.375,135,33,1,2,3,0,0,78H9,
310,Joey Loperfido*,26,TOR,AL,0.6,41,104,96,12,32,4,0,4,14,1,2,4,27,0.333,0.379,0.5,0.879,140,0.381,150,48,2,3,1,0,0,7H/9,
363,DJ LeMahieu,36,NYY,AL,0.6,45,142,128,13,34,3,0,2,12,0,0,14,35,0.266,0.338,0.336,0.674,90,0.307,95,43,4,0,0,0,0,4/H,
410,Andy Ibáñez,32,DET,AL,0.6,91,193,176,24,42,8,0,4,21,4,1,12,26,0.239,0.301,0.352,0.653,81,0.292,80,62,6,4,0,1,0,5H4/3D67,
411,Luisangel Acuña,23,NYM,NL,0.6,95,193,175,30,41,7,0,0,8,16,1,13,37,0.234,0.293,0.274,0.567,63,0.273,59,48,6,2,2,1,0,4H/658,
431,Christian Vázquez,34,MIN,AL,0.6,65,214,190,14,36,7,0,3,14,1,1,18,35,0.189,0.271,0.274,0.545,52,0.259,56,52,3,4,0,2,0,2/H,
455,Will Benson*,27,CIN,NL,0.6,90,253,230,31,52,8,2,12,41,2,2,16,67,0.226,0.273,0.435,0.708,89,0.301,81,100,4,1,0,6,1,97H8/D,
521,Casey Schmitt,26,SFG,NL,0.6,95,348,312,34,74,15,0,12,40,0,0,27,83,0.237,0.305,0.401,0.706,100,0.311,101,125,6,5,1,3,1,453/H6D,
543,Ezequiel Tovar,23,COL,NL,0.6,95,390,360,44,91,18,4,9,33,5,3,21,98,0.253,0.294,0.4,0.694,83,0.305,80,144,2,1,6,2,0,6,
546,Matt Wallner*,27,MIN,AL,0.6,104,392,336,47,68,16,3,22,40,4,3,46,114,0.202,0.311,0.464,0.776,110,0.337,113,156,3,8,0,2,0,9D/H,
551,Royce Lewis,26,MIN,AL,0.6,106,403,376,36,89,18,0,13,52,12,2,25,80,0.237,0.283,0.388,0.671,83,0.303,85,146,7,0,0,2,0,5/DH,
559,Nick Allen,26,ATL,NL,0.6,135,416,371,32,82,11,0,0,22,8,7,31,99,0.221,0.284,0.251,0.535,54,0.243,50,93,8,3,8,3,0,*6/4H,
241,Sal Stewart,21,CIN,NL,0.5,18,58,55,11,14,1,0,5,8,0,0,3,15,0.255,0.293,0.545,0.839,122,0.351,115,30,1,0,0,0,0,3/5H,
256,Moisés Ballesteros*,21,CHC,NL,0.5,20,66,57,12,17,2,1,2,11,0,0,9,12,0.298,0.394,0.474,0.868,152,0.39,159,27,2,0,0,0,1,D/H32,
371,Bryce Teodosio,26,LAA,AL,0.5,50,150,138,12,28,7,2,1,7,7,1,5,47,0.203,0.248,0.304,0.553,53,0.247,42,42,2,4,1,2,0,8,
387,Johan Rojas,24,PHI,NL,0.5,71,172,152,23,34,3,2,1,18,12,2,13,40,0.224,0.28,0.289,0.569,57,0.271,53,44,2,0,4,3,0,8H/D,
443,Tim Tawa,26,ARI,NL,0.5,74,225,199,29,40,8,0,7,18,8,2,20,64,0.201,0.274,0.347,0.62,71,0.284,70,69,6,1,2,3,0,4387H/59,
449,Alexander Canario,25,PIT,NL,0.5,87,234,216,25,47,6,1,6,20,3,1,17,80,0.218,0.274,0.338,0.611,70,0.279,70,73,5,0,0,1,0,789H/D,
457,Cole Young*,21,SEA,AL,0.5,77,257,223,24,47,7,1,4,24,1,0,28,47,0.211,0.302,0.305,0.607,75,0.273,77,68,4,2,2,2,1,4/H6D,
506,Luis Urías,28,ATH,AL,0.5,96,330,287,27,66,7,0,8,25,2,1,31,45,0.23,0.315,0.338,0.653,81,0.302,89,97,9,6,0,3,0,4/5H,
507,Joey Bart,28,PIT,NL,0.5,93,332,285,21,71,12,1,4,30,1,1,40,93,0.249,0.355,0.34,0.696,96,0.32,100,97,14,7,0,0,0,2/HD,
567,Jasson Domínguez#,22,NYY,AL,0.5,123,429,381,58,98,18,1,10,47,23,5,41,115,0.257,0.331,0.388,0.719,101,0.324,102,148,5,3,0,4,1,7HD,ROY-13
617,Cedric Mullins*,30,2TM,2LG,0.5,133,498,435,58,94,23,1,17,59,22,4,50,120,0.216,0.299,0.391,0.69,94,0.311,94,170,2,4,3,6,0,*8/HD,
639,Josh Bell#,32,WSN,NL,0.5,140,533,468,54,111,16,1,22,63,0,3,57,88,0.237,0.325,0.417,0.741,110,0.327,112,195,15,5,0,3,1,D3H,
